,model_forest_04_feat_imp,model_forest_05_feat_imp
gill-size_narrow,0.10935921051573644,0.0992546665438826
gill-color_buff,0.10358264013859829,0.04600028091046507
stalk-surface-above-ring_smooth,0.09213556590626412,0.035647363329621956
odor_none,0.0915855718654333,0.08031162837118615
population_several,0.05501595923174173,0.06799571441349152
stalk-surface-below-ring_silky,0.0533920174360584,0.0692105957871591
spore-print-color_chocolate,0.048876453718759774,0.07075500150499321
stalk-surface-above-ring_silky,0.042109251280785354,0.01294531200322548
odor_creosote,0.040699861617242504,0.01994526621278749
bruises_no,0.029512562804354745,0.03907307254197844
ring-number_two,0.028146186038297858,0.0
stalk-color-above-ring_white,0.02500618029762538,0.022112154925207732
spore-print-color_white,0.024091122839441526,0.026891075140841693
habitat_urban,0.020489937099951835,0.005510177539485735
habitat_paths,0.019285114025600895,0.0
stalk-surface-below-ring_smooth,0.016576915067357867,0.006099803690894707
odor_foul,0.016061393875251236,0.07609032288885317
population_solitary,0.015820518574874216,0.0
odor_fishy,0.013278310187629467,0.0
stalk-root_equal,0.01274466292723815,0.016833184885788617
cap-surface_smooth,0.010954862335587939,0.009298405581503319
ring-type_pendant,0.01073088240533492,0.03576578408723561
gill-spacing_crowded,0.009173385237676282,0.030019572089321413
stalk-root_club,0.008774983602278354,0.0
habitat_woods,0.008601318546257506,0.010496192349389371
spore-print-color_green,0.00817910329891181,0.005879686128069834
cap-color_white,0.006442254903310989,0.0
odor_anise,0.006375451936155594,0.0
cap-surface_scaly,0.005103095787946362,0.0
ring-number_one,0.005013081984989805,0.0051616040113525805
ring-type_large,0.0,0.0346113470189374
stalk-shape_tapering,0.0,0.02445117694250968
odor_pungent,0.0,0.01731012159305213
odor_spicy,0.0,0.015962450625335585
population_scattered,0.0,0.01260355350600155
spore-print-color_brown,0.0,0.01241488682917955
stalk-root_missing,0.0,0.006600738837503429
cap-color_pink,0.0,0.005812623596130854
